,nom_ecole,geometry,note_vetuste,note_vetuste_count,note_encadrement,note_encadrement_count,note_climat,note_climat_count,note_cantine,note_cantine_count,note_abord_securise,note_abord_securise_count,ecole
142,Ecole maternelle Mailhos Georges,POINT (1.497363431287078 43.567192139707956),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Mailhos Georges
143,Ecole maternelle Moulin Jean,POINT (1.441380560982207 43.58235285019728),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Moulin Jean
144,Ecole maternelle Oustalous (Les),POINT (1.424266328453772 43.574761756152604),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Oustalous (Les)
145,Ecole maternelle Ponts Jumeaux,POINT (1.421559505672012 43.614756336856495),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Ponts Jumeaux
146,Ecole maternelle Rangueil,POINT (1.464339892778249 43.57480332993427),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Rangueil
147,Ecole maternelle Ricardie,POINT (1.449639878745991 43.58245005236729),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Ricardie
148,Ecole maternelle Sermet,POINT (1.442107933145435 43.60718317420983),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Sermet
149,Ecole maternelle Amidonniers,POINT (1.420515264335671 43.609503101084684),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Amidonniers
150,Ecole maternelle Becanne Maurice,POINT (1.426374458240528 43.581868047890815),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Becanne Maurice
151,Ecole maternelle Bonnefoy,POINT (1.453790455117969 43.616489156924935),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Bonnefoy
152,Ecole maternelle Château d'Ancely,POINT (1.39859879744277 43.618090602882724),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Château d'Ancely
153,Ecole maternelle Gloire (La),POINT (1.468140489317421 43.60767623502055),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Gloire (La)
154,Ecole maternelle Julien Jules,POINT (1.45400536036705 43.57449036396473),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Julien Jules
155,Ecole maternelle Juncasse (La),POINT (1.471922004881777 43.617275212800685),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Juncasse (La)
156,Ecole maternelle Leygue Armand,POINT (1.464392275438318 43.5965493363383),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Leygue Armand
157,Ecole maternelle Littre,POINT (1.378124783166325 43.60791241469699),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Littre
158,Ecole maternelle Macé Jean,POINT (1.478453144319812 43.59495945581134),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Macé Jean
159,Ecole maternelle Merly,POINT (1.442677486799382 43.6094494451081),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Merly
160,Ecole maternelle Michelet,POINT (1.455036820643735 43.60403834295482),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Michelet
161,Ecole maternelle Molière,POINT (1.431575229670508 43.59329734490534),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Molière
162,Ecole maternelle Papus,POINT (1.413729503410159 43.57556283243868),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Papus
163,Ecole maternelle Pastel (Le),POINT (1.453541498573324 43.54532290334199),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Pastel (Le)
164,Ecole maternelle Pech David,POINT (1.449518135910621 43.57151573890971),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Pech David
165,Ecole maternelle Petit Gragnague,POINT (1.415531705034221 43.61231008493682),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Petit Gragnague
166,Ecole maternelle Ronsard,POINT (1.407222986850783 43.584154339678705),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole maternelle Ronsard
